source,predicate,target,source_type,target_type,relation_type,description
Musée d’Orsay – A Great Metamorphosis,produced by,Musées d’Orsay et de l’Orangerie,Documentary,Organization,production,The museum organization is listed as a documentary producer.
Musée d’Orsay – A Great Metamorphosis,has series,Archi & Design,Documentary,Literal,metadata,Series title.
Musée d’Orsay – A Great Metamorphosis,has duration,53 minutes,Documentary,Literal,metadata,Documentary duration.
Musée d’Orsay – A Great Metamorphosis,has year,2020,Documentary,Literal,metadata,Documentary release year.
Musée d’Orsay – A Great Metamorphosis,has country,France,Documentary,Literal,metadata,Country of origin.
Victor Laloux,identified by,Wikidata record for Victor Laloux,Person,Authority record,authority,External identity link.
Victor Laloux,identified by,VIAF record for Victor Laloux,Person,Authority record,authority,External authority link.
Victor Laloux,identified by,ISNI record for Victor Laloux,Person,Authority record,authority,External authority link.
Victor Laloux,identified by,Getty ULAN record for Victor Laloux,Person,Authority record,authority,External authority link.
Gae Aulenti,identified by,Wikidata record for Gae Aulenti,Person,Authority record,authority,External identity link.
Gae Aulenti,identified by,VIAF record for Gae Aulenti,Person,Authority record,authority,External authority link.
Gae Aulenti,identified by,ISNI record for Gae Aulenti,Person,Authority record,authority,External authority link.
Gae Aulenti,identified by,Getty ULAN record for Gae Aulenti,Person,Authority record,authority,External authority link.
Claude Monet,identified by,Wikidata record for Claude Monet,Person,Authority record,authority,External identity link.
Claude Monet,identified by,VIAF record for Claude Monet,Person,Authority record,authority,External authority link.
Claude Monet,identified by,ISNI record for Claude Monet,Person,Authority record,authority,External authority link.
Claude Monet,identified by,Getty ULAN record for Claude Monet,Person,Authority record,authority,External authority link.
Paul Cézanne,identified by,Wikidata record for Paul Cézanne,Person,Authority record,authority,External identity link.
Paul Cézanne,identified by,VIAF record for Paul Cézanne,Person,Authority record,authority,External authority link.
Paul Cézanne,identified by,ISNI record for Paul Cézanne,Person,Authority record,authority,External authority link.
Paul Cézanne,identified by,Getty ULAN record for Paul Cézanne,Person,Authority record,authority,External authority link.
Musée d’Orsay,identified by,Wikidata record for Musée d’Orsay,Museum,Authority record,authority,External identity link.
Musée d’Orsay,identified by,VIAF record for Musée d’Orsay,Museum,Authority record,authority,External authority link.
Musée d’Orsay,identified by,ISNI record for Musée d’Orsay,Museum,Authority record,authority,External authority link.
Musée d’Orsay,identified by,Getty ULAN record for Musée d’Orsay,Museum,Authority record,authority,External authority link.
ICOM,identified by,Wikidata record for ICOM,Organization,Authority record,authority,External identity link.
ICOM,identified by,VIAF record for ICOM,Organization,Authority record,authority,External authority link.
ICOM,identified by,ISNI record for ICOM,Organization,Authority record,authority,External authority link.
Impressionism,classified by,Wikidata concept for Impressionism,Concept,Authority concept,authority,External concept mapping.
Impressionism,classified by,Getty AAT concept for Impressionism,Concept,Authority concept,authority,External concept mapping.
Impressionism,classified by,LCSH concept for Impressionism,Concept,Authority concept,authority,External concept mapping.
Post-Impressionism,classified by,Wikidata concept for Post-Impressionism,Concept,Authority concept,authority,External concept mapping.
Post-Impressionism,classified by,Getty AAT concept for Post-Impressionism,Concept,Authority concept,authority,External concept mapping.
Post-Impressionism,classified by,LCSH concept for Post-Impressionism,Concept,Authority concept,authority,External concept mapping.
Beaux-Arts style,classified by,Wikidata concept for Beaux-Arts architecture,Concept,Authority concept,authority,External concept mapping.
Adaptive reuse,classified by,Wikidata concept for adaptive reuse,Concept,Authority concept,authority,External concept mapping.
